31-1,5/25/2007,10:07 AM
x,y,t
23.80,90.32,58.56
23.58,88.76,58.66
22.91,87.43,58.76
22.25,85.65,58.86
21.36,83.87,58.96
19.80,82.53,59.06
18.46,80.98,59.16
16.91,79.86,59.26
15.57,79.20,59.36
13.79,79.64,59.46
12.68,79.86,59.56
12.90,80.09,59.66
13.13,80.31,59.76
13.13,80.31,59.86
13.79,80.75,59.96
