Date,Time,Day,Trial,Animal,Trial Code,Strategy Type,ipe,velocity,totalDistance,distanceAverage,averageHeadingError,percentTraversed,latency,corridorAverage,score,initial heading error,entropy
39228,0.379166667,2,2,13150,36-1 2 2,Thigmotaxis,3894.23,16.26,975.11,66.55,91.67,44.44,59.97,0.11,0,31.05203036,0
39228,0.379166667,2,1,43521,25-2 2 1,Random Search,268.46,30.62,169.63,63.88,80.05,13.89,5.54,0.26,0,44.13918513,0
39228,0.379861111,2,2,13181,36-2 2 2,Not Recognized,395.96,27.39,200.8,63.77,76.57,8.33,7.33,0.04,0,39.62787368,0
39228,0.379861111,2,2,43488,23-1 2 2,Random Search,377.3,23.1,279.47,31.86,101.56,20.14,12.1,0.19,0,77.68547998,0
39228,0.38125,2,3,12785,35-1 2 3,Scanning,1902.79,20.16,1207.71,31.88,94.03,70.14,59.92,0.23,1,68.12490725,0
39228,0.38125,2,2,43519,23-2 2 2,Random Search,1591.14,24.73,894.59,44.29,91.73,52.08,36.17,0.21,0,37.87630091,0
39228,0.382638889,2,2,43547,23-3 2 2,Scanning,465.44,31.78,360.65,41.27,105.22,24.31,11.35,0.03,1,118.6886103,0
39228,0.383333333,2,3,12816,35-2 2 3,Scanning,784.65,26.92,770.2,27.38,95.52,50,28.61,0.1,1,112.5722188,0
39228,0.383333333,2,2,43578,23-4 2 2,Chaining,1465.36,22.17,622.79,52.9,91.87,22.22,28.09,0.31,1,77.73216141,0
39228,0.384027778,2,3,13150,36-1 2 3,Thigmotaxis,3282.83,15.02,900.43,54.78,93.95,42.36,59.96,0.2,0,91.59513234,0
39228,0.385416667,2,3,13181,36-2 2 3,Random Search,353.85,26.66,277.3,33.77,110.29,20.14,10.4,0.08,0,104.9340698,0
39228,0.386805556,2,4,12785,35-1 2 4,Random Search,496.82,17.71,315.47,30.6,99.98,22.92,17.81,0.54,0,100.7623921,0
39228,0.3875,2,4,12816,35-2 2 4,Scanning,548.04,26.6,352.13,43.88,93.14,36.81,13.24,0.08,1,69.92881476,0
39228,0.388194444,2,2,43490,25-1 2 2,Random Search,1317.54,19.32,709.68,36.14,94.66,39.58,36.74,0.19,0,9.676862063,0
