dd_505,5/25/2007,10:21 a.m.
x,y,t
126.83,137.24,32.73
127.29,137.69,32.77
128.20,137.69,32.80
128.20,137.69,32.83
128.66,138.14,32.87
129.11,138.59,32.90
130.48,139.50,32.93
130.94,139.50,32.97
130.94,139.95,33.00
130.94,139.95,33.03
131.85,140.40,33.07
132.31,140.85,33.10
133.68,141.30,33.13
134.13,141.75,33.17
135.05,142.20,33.20
135.05,142.20,33.23
135.50,142.66,33.27
135.96,143.11,33.30
137.33,144.46,33.33
138.24,145.36,33.37
138.69,145.82,33.40
138.69,145.82,33.43
139.15,146.27,33.47
140.06,147.17,33.50
140.98,148.07,33.53
141.89,148.98,33.57
142.34,149.88,33.60
142.34,149.88,33.63
142.80,150.33,33.67
143.26,151.23,33.70
144.63,152.59,33.73
145.08,153.04,33.77
145.99,153.94,33.80
145.99,153.94,33.83
146.45,154.85,33.87
147.36,155.75,33.90
148.73,156.65,33.93
149.19,157.55,33.97
150.10,158.01,34.00
150.10,158.01,34.03
150.56,158.91,34.07
151.47,159.36,34.10
152.84,161.17,34.13
153.75,162.07,34.17
154.21,162.97,34.20
154.21,162.97,34.23
155.12,163.87,34.27
155.58,164.33,34.30
157.40,166.13,34.33
158.31,167.49,34.37
158.77,168.39,34.40
158.77,168.39,34.43
159.68,169.29,34.47
160.59,170.19,34.50
161.96,171.55,34.53
162.88,172.90,34.57
163.33,173.81,34.60
163.33,173.81,34.63
164.24,174.71,34.67
164.70,175.61,34.70
166.07,177.87,34.73
166.53,178.77,34.77
166.98,179.22,34.80
166.98,179.22,34.83
167.89,180.13,34.87
168.35,181.03,34.90
169.72,183.29,34.93
170.18,184.19,34.97
170.63,184.64,35.00
170.63,184.64,35.03
171.09,185.54,35.07
171.54,186.45,35.10
172.46,187.80,35.14
172.91,188.25,35.17
173.37,188.70,35.20
173.37,188.70,35.24
174.28,189.15,35.27
174.74,189.61,35.30
175.65,190.51,35.34
175.65,190.96,35.37
176.11,191.41,35.40
176.11,191.41,35.44
176.56,191.41,35.47
177.02,191.86,35.50
177.93,192.31,35.54
178.84,192.31,35.57
178.84,192.31,35.60
178.84,192.31,35.64
179.76,192.77,35.67
180.21,192.77,35.70
180.67,192.77,35.74
181.12,193.22,35.77
181.58,193.22,35.80
181.58,193.22,35.84
181.58,193.22,35.87
182.04,193.22,35.90
182.95,193.22,35.94
182.95,193.22,35.97
183.41,193.22,36.00
183.41,193.22,36.04
183.86,193.22,36.07
183.86,193.22,36.10
184.77,193.22,36.14
185.23,193.22,36.17
185.69,193.22,36.20
185.69,193.22,36.24
185.69,193.22,36.27
186.14,193.22,36.30
186.60,192.77,36.34
187.06,192.77,36.37
187.51,192.77,36.40
187.51,192.77,36.44
187.51,192.77,36.47
187.97,192.77,36.50
187.97,192.77,36.54
188.42,192.31,36.57
188.88,192.31,36.60
188.88,192.31,36.64
188.88,192.31,36.67
189.34,192.31,36.70
190.25,191.86,36.74
190.71,191.41,36.77
191.16,191.41,36.80
191.16,191.41,36.84
191.16,191.41,36.87
191.62,190.96,36.90
192.53,190.96,36.94
192.99,190.51,36.97
193.44,190.51,37.00
193.44,190.51,37.04
193.90,190.06,37.07
194.36,190.06,37.10
195.72,189.61,37.14
196.18,189.15,37.17
196.64,189.15,37.20
196.64,189.15,37.24
197.55,188.70,37.27
198.01,188.70,37.30
198.92,188.25,37.34
199.83,187.80,37.37
200.29,187.35,37.40
200.74,186.90,37.44
200.74,186.90,37.47
201.66,186.90,37.50
203.02,185.99,37.54
203.48,185.99,37.57
204.39,185.54,37.60
204.85,185.09,37.64
204.85,185.09,37.67
205.76,185.09,37.70
206.67,184.19,37.74
207.59,184.19,37.77
208.50,183.74,37.80
208.95,183.29,37.84
208.95,183.29,37.87
209.41,182.83,37.90
211.69,181.93,37.94
212.15,181.48,37.97
212.60,181.48,38.00
213.52,181.03,38.04
213.52,181.03,38.07
213.97,180.58,38.10
215.80,180.13,38.14
216.25,179.67,38.17
216.71,179.67,38.20
217.62,179.22,38.24
217.62,179.22,38.27
218.08,179.22,38.30
219.45,178.77,38.34
219.90,178.32,38.37
220.36,178.32,38.41
221.27,177.87,38.44
221.27,177.87,38.47
221.73,177.87,38.51
223.55,176.97,38.54
224.01,176.51,38.57
224.47,176.06,38.61
